projectname,project_match_score,project_match_reason,sco,excel_row_number,versionnumber,with_party,started_on,ended_on,total_calendar_days,total_business_days,source_start_event,source_end_event,needs_lori_to_confirm,reasoning_because_this_was_complex,raw_status_text
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-383 Public Cloud MCS OpenShift,3,V1,ADSL,2022-01-10,2022-02-10,32,24,Jan 10/22 - SCO drafted,Feb 10/22 - submitted to Province,Version number was inferred as V1 because the source event did not name a version. | Version number was inferred as V1 from an unversioned Province submission line.,"The send/submission date is counted with the sender, per Sam.","Mar 25/22 - Signed
Mar 24/22 - with Province for signing
Mar 22/22 - with Serge for signing
Mar 7/22 - submitted to Province
Mar 3/22 - with Serge for approval
Mar 2/22 - with Jen for review/updating
Feb 10/22 - submitted to Province
Feb 3/22 - with Sian for approval
Feb 2/22 - with Cathy/Jen for review
Jan 10/22 - SCO drafted; Jen to provide SOW"
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-383 Public Cloud MCS OpenShift,3,V2,CSBC,2022-02-11,2022-03-01,19,13,Feb 10/22 - submitted to Province,Mar 2/22 - with Jen for review/updating,Version number was inferred as V1 because the source event did not name a version. | Version number was inferred as V1 from an unversioned Province submission line. | Unversioned submission was treated as V1; confirm. | Inferred CSBC interval after Province submission because the next concrete event was ADSL/internal work on 2022-03-02.,"Province had the document after a submission, then ADSL/internal work resumed before the next submission/signing event.","Mar 25/22 - Signed
Mar 24/22 - with Province for signing
Mar 22/22 - with Serge for signing
Mar 7/22 - submitted to Province
Mar 3/22 - with Serge for approval
Mar 2/22 - with Jen for review/updating
Feb 10/22 - submitted to Province
Feb 3/22 - with Sian for approval
Feb 2/22 - with Cathy/Jen for review
Jan 10/22 - SCO drafted; Jen to provide SOW"
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-383 Public Cloud MCS OpenShift,3,V3,ADSL,2022-03-02,2022-03-07,6,4,Mar 2/22 - with Jen for review/updating,Mar 7/22 - submitted to Province,Version number was inferred as V1 because the source event did not name a version. | Version number was inferred as V1 from an unversioned Province submission line. | Version number was inferred as V3 from an unversioned ADSL/internal event. | Version number was inferred as V3 from an unversioned Province submission line.,"The send/submission date is counted with the sender, per Sam.","Mar 25/22 - Signed
Mar 24/22 - with Province for signing
Mar 22/22 - with Serge for signing
Mar 7/22 - submitted to Province
Mar 3/22 - with Serge for approval
Mar 2/22 - with Jen for review/updating
Feb 10/22 - submitted to Province
Feb 3/22 - with Sian for approval
Feb 2/22 - with Cathy/Jen for review
Jan 10/22 - SCO drafted; Jen to provide SOW"
Public Cloud MCS OpenShift Project (ROSA),100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-383 Public Cloud MCS OpenShift,3,V3,SIGNINGTIME,2022-03-08,2022-03-22,15,11,Mar 7/22 - submitted to Province,Mar 22/22 - with Serge for signing,Version number was inferred as V1 because the source event did not name a version. | Version number was inferred as V1 from an unversioned Province submission line. | Version number was inferred as V3 from an unversioned ADSL/internal event. | Version number was inferred as V3 from an unversioned Province submission line. | Signing/final workflow inferred after a Province send/submission with no explicit next-version return.,"The next meaningful event after the Province send was signing/final/completed, so no new CSBC editing version was invented.","Mar 25/22 - Signed
Mar 24/22 - with Province for signing
Mar 22/22 - with Serge for signing
Mar 7/22 - submitted to Province
Mar 3/22 - with Serge for approval
Mar 2/22 - with Jen for review/updating
Feb 10/22 - submitted to Province
Feb 3/22 - with Sian for approval
Feb 2/22 - with Cathy/Jen for review
Jan 10/22 - SCO drafted; Jen to provide SOW"
MS Defender Proof of Concept,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-416 Antivirus Product Evaluation,4,V1,ADSL,2022-04-06,2022-04-20,15,11,Apr 6/22 - with Rian for review,Apr 20/22 - submitted to Province,Version number was inferred as V1 because the source event did not name a version. | Version number was inferred as V1 from an unversioned Province submission line.,"The send/submission date is counted with the sender, per Sam.","June 29/22 - Signed
June 23/22 - V4 sent to Province
June 20/22 - V3 received
June 2/22 - V2 submitted to Province
June 1/22 - V2 with Rian and Cathy for review
Apr 20/22 - submitted to Province
Apr 13/22 - with Serge for approval
Apr 12/22 - Rian reviewing with Lori Collins
Apr 6/22 - with Rian for review"
MS Defender Proof of Concept,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-416 Antivirus Product Evaluation,4,V2,CSBC,2022-04-21,2022-05-31,41,29,Apr 20/22 - submitted to Province,Jun 1/22 - V2 with Rian and Cathy for review,Version number was inferred as V1 because the source event did not name a version. | Version number was inferred as V1 from an unversioned Province submission line. | Unversioned submission was treated as V1; confirm. | Inferred CSBC interval after Province submission because the next concrete event was ADSL/internal work on 2022-06-01. | Same version V2 appears with both ADSL and CSBC in this generated output; Lori should confirm because this is usually impossible.,"Province had the document after a submission, then ADSL/internal work resumed before the next submission/signing event.","June 29/22 - Signed
June 23/22 - V4 sent to Province
June 20/22 - V3 received
June 2/22 - V2 submitted to Province
June 1/22 - V2 with Rian and Cathy for review
Apr 20/22 - submitted to Province
Apr 13/22 - with Serge for approval
Apr 12/22 - Rian reviewing with Lori Collins
Apr 6/22 - with Rian for review"
MS Defender Proof of Concept,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-416 Antivirus Product Evaluation,4,V3,ADSL,2022-06-01,2022-06-02,2,2,Jun 1/22 - V2 with Rian and Cathy for review,Jun 2/22 - V2 submitted to Province,Version number was inferred as V1 because the source event did not name a version. | Version number was inferred as V1 from an unversioned Province submission line. | Same version V2 appears with both ADSL and CSBC in this generated output; Lori should confirm because this is usually impossible. | Version label normalized from V2 to V3 to avoid assigning the same version to both ADSL and CSBC.,"The send/submission date is counted with the sender, per Sam. Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","June 29/22 - Signed
June 23/22 - V4 sent to Province
June 20/22 - V3 received
June 2/22 - V2 submitted to Province
June 1/22 - V2 with Rian and Cathy for review
Apr 20/22 - submitted to Province
Apr 13/22 - with Serge for approval
Apr 12/22 - Rian reviewing with Lori Collins
Apr 6/22 - with Rian for review"
MS Defender Proof of Concept,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-416 Antivirus Product Evaluation,4,V4,CSBC,2022-06-03,2022-06-20,18,12,Jun 2/22 - V2 submitted to Province,Jun 20/22 - V3 received,Version number was inferred as V1 because the source event did not name a version. | Version number was inferred as V1 from an unversioned Province submission line. | Version label normalized from V3 to V4 to avoid assigning the same version to both ADSL and CSBC.,"Province/CSBC owned the returned version until the return/received date. Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","June 29/22 - Signed
June 23/22 - V4 sent to Province
June 20/22 - V3 received
June 2/22 - V2 submitted to Province
June 1/22 - V2 with Rian and Cathy for review
Apr 20/22 - submitted to Province
Apr 13/22 - with Serge for approval
Apr 12/22 - Rian reviewing with Lori Collins
Apr 6/22 - with Rian for review"
MS Defender Proof of Concept,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-416 Antivirus Product Evaluation,4,V5,ADSL,2022-06-23,2022-06-23,1,1,Jun 23/22 - V4 sent to Province,Jun 23/22 - V4 sent to Province,Version number was inferred as V1 because the source event did not name a version. | Version number was inferred as V1 from an unversioned Province submission line. | Version label normalized from V4 to V5 to avoid assigning the same version to both ADSL and CSBC.,"The send/submission date is counted with the sender, per Sam. Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","June 29/22 - Signed
June 23/22 - V4 sent to Province
June 20/22 - V3 received
June 2/22 - V2 submitted to Province
June 1/22 - V2 with Rian and Cathy for review
Apr 20/22 - submitted to Province
Apr 13/22 - with Serge for approval
Apr 12/22 - Rian reviewing with Lori Collins
Apr 6/22 - with Rian for review"
MS Defender Proof of Concept,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-416 Antivirus Product Evaluation,4,V5,SIGNINGTIME,2022-06-24,2022-06-29,6,4,Jun 23/22 - V4 sent to Province,Jun 29/22 - Signed,Version number was inferred as V1 because the source event did not name a version. | Version number was inferred as V1 from an unversioned Province submission line. | Signing/final workflow inferred after a Province send/submission with no explicit next-version return. | SIGNINGTIME version label normalized from V4 to V5 so signing attaches to the last real editing version.,"The next meaningful event after the Province send was signing/final/completed, so no new CSBC editing version was invented.","June 29/22 - Signed
June 23/22 - V4 sent to Province
June 20/22 - V3 received
June 2/22 - V2 submitted to Province
June 1/22 - V2 with Rian and Cathy for review
Apr 20/22 - submitted to Province
Apr 13/22 - with Serge for approval
Apr 12/22 - Rian reviewing with Lori Collins
Apr 6/22 - with Rian for review"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-453 Amd SCO-355 RTMC PS Remed,5,V1,ADSL,2022-10-04,2022-10-04,1,1,Oct 4/22 - V1 sent to Province,Oct 4/22 - V1 sent to Province,,"The send/submission date is counted with the sender, per Sam.","Oct 14/22 - Signed
Oct 13/22 - V2 rec'd
Oct 4/22 - V1 sent to Province"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-453 Amd SCO-355 RTMC PS Remed,5,V2,CSBC,2022-10-05,2022-10-13,9,7,Oct 4/22 - V1 sent to Province,Oct 13/22 - V2 rec'd,,Province/CSBC owned the returned version until the return/received date.,"Oct 14/22 - Signed
Oct 13/22 - V2 rec'd
Oct 4/22 - V1 sent to Province"
RTMC Remediation Project,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-453 Amd SCO-355 RTMC PS Remed,5,V2,SIGNINGTIME,2022-10-14,2022-10-14,1,1,Oct 14/22 - Signed,Oct 14/22 - Signed,,Signing/final workflow was separated from normal ADSL/CSBC editing ownership.,"Oct 14/22 - Signed
Oct 13/22 - V2 rec'd
Oct 4/22 - V1 sent to Province"
Next Gen Shared File Phase 5,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-463 Next Gen Shared File Phase 5,6,V1,ADSL,2022-11-22,2022-11-22,1,1,Nov 22/22 - submitted to Province,Nov 22/22 - submitted to Province,Version number was inferred as V1 from an unversioned Province submission line.,"The send/submission date is counted with the sender, per Sam.","June 30/23 - Signed
June 27/23 - V5 sent to Province
June 27/23 - V4 back from Province - would like sign off prior to June 30
June 20/23 - V3 sent to Province
June 19/23 - SCO out for review internally
June 19/23 - SOW approved, SCO in draft
June 6/23 - During BN/BA meeting Brian asked to have the SCO ready to go so that once the BA is approved we can proceed right away
Apr 27/23 - SOW sent to Province
Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation
Dec 2/22 - Lori C. advised this will be reverting back to BA 
Nov 24/22 - V2 submitted to Province
Nov 23/22 - V2 with Sian for approval
Nov 22/22 - submitted to Province"
Next Gen Shared File Phase 5,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-463 Next Gen Shared File Phase 5,6,V1,ADSL,2022-11-23,2022-11-24,2,2,Nov 23/22 - V2 with Sian for approval,Nov 24/22 - V2 submitted to Province,Version number was inferred as V1 from an unversioned Province submission line. | Same version V2 appears with both ADSL and CSBC in this generated output; Lori should confirm because this is usually impossible. | Version label normalized from V2 to V1 to avoid assigning the same version to both ADSL and CSBC.,"The send/submission date is counted with the sender, per Sam. Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","June 30/23 - Signed
June 27/23 - V5 sent to Province
June 27/23 - V4 back from Province - would like sign off prior to June 30
June 20/23 - V3 sent to Province
June 19/23 - SCO out for review internally
June 19/23 - SOW approved, SCO in draft
June 6/23 - During BN/BA meeting Brian asked to have the SCO ready to go so that once the BA is approved we can proceed right away
Apr 27/23 - SOW sent to Province
Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation
Dec 2/22 - Lori C. advised this will be reverting back to BA 
Nov 24/22 - V2 submitted to Province
Nov 23/22 - V2 with Sian for approval
Nov 22/22 - submitted to Province"
Next Gen Shared File Phase 5,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-463 Next Gen Shared File Phase 5,6,V2,CSBC,2022-11-23,2022-11-23,1,1,Nov 22/22 - submitted to Province,Nov 23/22 - V2 with Sian for approval,Version number was inferred as V1 from an unversioned Province submission line. | Unversioned submission was treated as V1; confirm. | Inferred CSBC interval after Province submission because the next concrete event was ADSL/internal work on 2022-11-23. | Computed start 2022-11-23 after end 2022-11-22; this row needs human review. | Same version V2 appears with both ADSL and CSBC in this generated output; Lori should confirm because this is usually impossible.,"Province had the document after a submission, then ADSL/internal work resumed before the next submission/signing event.","June 30/23 - Signed
June 27/23 - V5 sent to Province
June 27/23 - V4 back from Province - would like sign off prior to June 30
June 20/23 - V3 sent to Province
June 19/23 - SCO out for review internally
June 19/23 - SOW approved, SCO in draft
June 6/23 - During BN/BA meeting Brian asked to have the SCO ready to go so that once the BA is approved we can proceed right away
Apr 27/23 - SOW sent to Province
Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation
Dec 2/22 - Lori C. advised this will be reverting back to BA 
Nov 24/22 - V2 submitted to Province
Nov 23/22 - V2 with Sian for approval
Nov 22/22 - submitted to Province"
Next Gen Shared File Phase 5,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-463 Next Gen Shared File Phase 5,6,V2,CSBC,2022-11-25,2022-12-01,7,5,Nov 24/22 - V2 submitted to Province,Dec 2/22 - Lori C. advised this will be reverting back to BA,Version number was inferred as V1 from an unversioned Province submission line. | Inferred CSBC interval after Province submission because the next concrete event was ADSL/internal work on 2022-12-02. | Version label normalized from V4 to V2 to avoid assigning the same version to both ADSL and CSBC.,"Province had the document after a submission, then ADSL/internal work resumed before the next submission/signing event. Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","June 30/23 - Signed
June 27/23 - V5 sent to Province
June 27/23 - V4 back from Province - would like sign off prior to June 30
June 20/23 - V3 sent to Province
June 19/23 - SCO out for review internally
June 19/23 - SOW approved, SCO in draft
June 6/23 - During BN/BA meeting Brian asked to have the SCO ready to go so that once the BA is approved we can proceed right away
Apr 27/23 - SOW sent to Province
Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation
Dec 2/22 - Lori C. advised this will be reverting back to BA 
Nov 24/22 - V2 submitted to Province
Nov 23/22 - V2 with Sian for approval
Nov 22/22 - submitted to Province"
Next Gen Shared File Phase 5,100,project supplied directly by Lori's Completed SCOs consolidated lists v1.0.xlsx,SCO-PROV-463 Next Gen Shared File Phase 5,6,V3,ADSL,2022-12-02,2023-03-26,115,81,Dec 2/22 - Lori C. advised this will be reverting back to BA,"Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation",Version number was inferred as V1 from an unversioned Province submission line. | Version number was inferred as V5 from an unversioned ADSL/internal event. | Version label normalized from V5 to V3 to avoid assigning the same version to both ADSL and CSBC.,"Version labels were normalized by ownership turn: after CSBC has a version, the next ADSL work is treated as the next version even if Lori shorthand repeats the received version label.","June 30/23 - Signed
June 27/23 - V5 sent to Province
June 27/23 - V4 back from Province - would like sign off prior to June 30
June 20/23 - V3 sent to Province
June 19/23 - SCO out for review internally
June 19/23 - SOW approved, SCO in draft
June 6/23 - During BN/BA meeting Brian asked to have the SCO ready to go so that once the BA is approved we can proceed right away
Apr 27/23 - SOW sent to Province
Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation
Dec 2/22 - Lori C. advised this will be reverting back to BA 
Nov 24/22 - V2 submitted to Province
Nov 23/22 - V2 with Sian for approval
Nov 22/22 - submitted to Province"
