projectname,project_match_score,project_match_reason,sco,excel_row_number,versionnumber,with_party,started_on,ended_on,total_calendar_days,total_business_days,source_start_event,source_end_event,needs_lori_to_confirm,reasoning_because_this_was_complex,raw_status_text
MS Defender Proof of Concept,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-416 Antivirus Product Evaluation,4,V3,CSBC,2022-06-03,2022-06-20,18,12,June 2/22 - V2 submitted to Province,June 20/22 - V3 received,,,"June 29/22 - Signed
June 23/22 - V4 sent to Province
June 20/22 - V3 received
June 2/22 - V2 submitted to Province
June 1/22 - V2 with Rian and Cathy for review
Apr 20/22 - submitted to Province
Apr 13/22 - with Serge for approval
Apr 12/22 - Rian reviewing with Lori Collins
Apr 6/22 - with Rian for review"
MS Defender Proof of Concept,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-416 Antivirus Product Evaluation,4,V4,ADSL,2022-06-21,2022-06-23,3,3,June 20/22 - V3 received,June 23/22 - V4 sent to Province,,,"June 29/22 - Signed
June 23/22 - V4 sent to Province
June 20/22 - V3 received
June 2/22 - V2 submitted to Province
June 1/22 - V2 with Rian and Cathy for review
Apr 20/22 - submitted to Province
Apr 13/22 - with Serge for approval
Apr 12/22 - Rian reviewing with Lori Collins
Apr 6/22 - with Rian for review"
MS Defender Proof of Concept,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-416 Antivirus Product Evaluation,4,V4,SIGNINGTIME,2022-06-24,2022-06-24,1,1,June 23/22 - V4 sent to Province,June 23/22 - V4 sent to Province,,"V4 was sent out and the next meaningful event was signing/final, so no V5 CSBC editing row was created.","June 29/22 - Signed
June 23/22 - V4 sent to Province
June 20/22 - V3 received
June 2/22 - V2 submitted to Province
June 1/22 - V2 with Rian and Cathy for review
Apr 20/22 - submitted to Province
Apr 13/22 - with Serge for approval
Apr 12/22 - Rian reviewing with Lori Collins
Apr 6/22 - with Rian for review"
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-453 Amd SCO-355 RTMC PS Remed,5,V1,ADSL,2022-10-04,2022-10-04,1,1,Oct 4/22 - V1 sent to Province,Oct 4/22 - V1 sent to Province,,,"Oct 14/22 - Signed
Oct 13/22 - V2 rec'd
Oct 4/22 - V1 sent to Province"
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-453 Amd SCO-355 RTMC PS Remed,5,V2,CSBC,2022-10-05,2022-10-13,9,7,Oct 4/22 - V1 sent to Province,Oct 13/22 - V2 rec'd,,,"Oct 14/22 - Signed
Oct 13/22 - V2 rec'd
Oct 4/22 - V1 sent to Province"
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-453 Amd SCO-355 RTMC PS Remed,5,V2,SIGNINGTIME,2022-10-14,2022-10-14,1,1,Oct 14/22 - Signed,Oct 14/22 - Signed,,,"Oct 14/22 - Signed
Oct 13/22 - V2 rec'd
Oct 4/22 - V1 sent to Province"
Next Gen Shared File Phase 5,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-463 Next Gen Shared File Phase 5,6,V1,ADSL,2022-11-22,2022-11-22,1,1,Nov 22/22 - submitted to Province,Nov 22/22 - submitted to Province,Source includes non-version Province/submission events; confirm whether those should count as SCO pen time. | Version number was inferred as V1 from an unversioned Province submission line.,"The source said submitted/sent to Province without a version number, so V1 was inferred from the current version sequence.","June 30/23 - Signed
June 27/23 - V5 sent to Province
June 27/23 - V4 back from Province - would like sign off prior to June 30
June 20/23 - V3 sent to Province
June 19/23 - SCO out for review internally
June 19/23 - SOW approved, SCO in draft
June 6/23 - During BN/BA meeting Brian asked to have the SCO ready to go so that once the BA is approved we can proceed right away
Apr 27/23 - SOW sent to Province
Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation
Dec 2/22 - Lori C. advised this will be reverting back to BA 
Nov 24/22 - V2 submitted to Province
Nov 23/22 - V2 with Sian for approval
Nov 22/22 - submitted to Province"
Next Gen Shared File Phase 5,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-463 Next Gen Shared File Phase 5,6,V2,ADSL,2022-11-24,2022-11-24,1,1,Nov 24/22 - V2 submitted to Province,Nov 24/22 - V2 submitted to Province,Source includes non-version Province/submission events; confirm whether those should count as SCO pen time.,V2 was sent while V2 was the inferred pending receiver version; this was treated as ADSL same-version turnaround rather than creating both-party ownership.,"June 30/23 - Signed
June 27/23 - V5 sent to Province
June 27/23 - V4 back from Province - would like sign off prior to June 30
June 20/23 - V3 sent to Province
June 19/23 - SCO out for review internally
June 19/23 - SOW approved, SCO in draft
June 6/23 - During BN/BA meeting Brian asked to have the SCO ready to go so that once the BA is approved we can proceed right away
Apr 27/23 - SOW sent to Province
Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation
Dec 2/22 - Lori C. advised this will be reverting back to BA 
Nov 24/22 - V2 submitted to Province
Nov 23/22 - V2 with Sian for approval
Nov 22/22 - submitted to Province"
Next Gen Shared File Phase 5,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-463 Next Gen Shared File Phase 5,6,V3,ADSL,2023-06-20,2023-06-20,1,1,June 20/23 - V3 sent to Province,June 20/23 - V3 sent to Province,Source includes non-version Province/submission events; confirm whether those should count as SCO pen time.,V3 was sent while V3 was the inferred pending receiver version; this was treated as ADSL same-version turnaround rather than creating both-party ownership.,"June 30/23 - Signed
June 27/23 - V5 sent to Province
June 27/23 - V4 back from Province - would like sign off prior to June 30
June 20/23 - V3 sent to Province
June 19/23 - SCO out for review internally
June 19/23 - SOW approved, SCO in draft
June 6/23 - During BN/BA meeting Brian asked to have the SCO ready to go so that once the BA is approved we can proceed right away
Apr 27/23 - SOW sent to Province
Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation
Dec 2/22 - Lori C. advised this will be reverting back to BA 
Nov 24/22 - V2 submitted to Province
Nov 23/22 - V2 with Sian for approval
Nov 22/22 - submitted to Province"
Next Gen Shared File Phase 5,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-463 Next Gen Shared File Phase 5,6,V4,CSBC,2023-06-21,2023-06-27,7,5,June 20/23 - V3 sent to Province,June 27/23 - V4 back from Province - would like sign off prior to June 30,Source includes non-version Province/submission events; confirm whether those should count as SCO pen time.,,"June 30/23 - Signed
June 27/23 - V5 sent to Province
June 27/23 - V4 back from Province - would like sign off prior to June 30
June 20/23 - V3 sent to Province
June 19/23 - SCO out for review internally
June 19/23 - SOW approved, SCO in draft
June 6/23 - During BN/BA meeting Brian asked to have the SCO ready to go so that once the BA is approved we can proceed right away
Apr 27/23 - SOW sent to Province
Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation
Dec 2/22 - Lori C. advised this will be reverting back to BA 
Nov 24/22 - V2 submitted to Province
Nov 23/22 - V2 with Sian for approval
Nov 22/22 - submitted to Province"
Next Gen Shared File Phase 5,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-463 Next Gen Shared File Phase 5,6,V5,ADSL,2023-06-27,2023-06-27,1,1,June 27/23 - V5 sent to Province,June 27/23 - V5 sent to Province,Source includes non-version Province/submission events; confirm whether those should count as SCO pen time.,Same-day receive/send turnaround was treated as a one-day ADSL row because the send date belongs to the sender.,"June 30/23 - Signed
June 27/23 - V5 sent to Province
June 27/23 - V4 back from Province - would like sign off prior to June 30
June 20/23 - V3 sent to Province
June 19/23 - SCO out for review internally
June 19/23 - SOW approved, SCO in draft
June 6/23 - During BN/BA meeting Brian asked to have the SCO ready to go so that once the BA is approved we can proceed right away
Apr 27/23 - SOW sent to Province
Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation
Dec 2/22 - Lori C. advised this will be reverting back to BA 
Nov 24/22 - V2 submitted to Province
Nov 23/22 - V2 with Sian for approval
Nov 22/22 - submitted to Province"
Next Gen Shared File Phase 5,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-463 Next Gen Shared File Phase 5,6,V5,SIGNINGTIME,2023-06-28,2023-06-28,1,1,June 27/23 - V5 sent to Province,June 27/23 - V5 sent to Province,Source includes non-version Province/submission events; confirm whether those should count as SCO pen time.,"V5 was sent out and the next meaningful event was signing/final, so no V6 CSBC editing row was created.","June 30/23 - Signed
June 27/23 - V5 sent to Province
June 27/23 - V4 back from Province - would like sign off prior to June 30
June 20/23 - V3 sent to Province
June 19/23 - SCO out for review internally
June 19/23 - SOW approved, SCO in draft
June 6/23 - During BN/BA meeting Brian asked to have the SCO ready to go so that once the BA is approved we can proceed right away
Apr 27/23 - SOW sent to Province
Mar 27/23 - Province approved to move forward to SOW/SCO, awaiting internal SOW creation
Dec 2/22 - Lori C. advised this will be reverting back to BA 
Nov 24/22 - V2 submitted to Province
Nov 23/22 - V2 with Sian for approval
Nov 22/22 - submitted to Province"
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-479 Amend SCO-453 RTMC PS Remed,7,V1,ADSL,2023-01-09,2023-01-10,2,2,Jan 9/23 - With Sian,Jan 10/23 - V1 Sent to Province,,,"Feb 9/23 - Signed
Feb 8/23 - With Province for signature
Feb 8/23 - With Sian for signature approval
Feb 7/23 - V4 sent to Province
Feb 3/23 - Province question with Sharon
Jan 31/23 - V3 sent to Province
Jan 31/23 - Followed up with Sharon
Jan 25/23 - Sent Sharon T to answer question
Jan 20/23 - Sent to Sian
Jan 20/23 - Province sent V2 back with a Q
Jan 10/23 - V1 Sent to Province
Jan 9/23 - With Sian "
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-479 Amend SCO-453 RTMC PS Remed,7,V2,CSBC,2023-01-11,2023-01-20,10,8,Jan 10/23 - V1 Sent to Province,Jan 20/23 - Province sent V2 back with a Q,,,"Feb 9/23 - Signed
Feb 8/23 - With Province for signature
Feb 8/23 - With Sian for signature approval
Feb 7/23 - V4 sent to Province
Feb 3/23 - Province question with Sharon
Jan 31/23 - V3 sent to Province
Jan 31/23 - Followed up with Sharon
Jan 25/23 - Sent Sharon T to answer question
Jan 20/23 - Sent to Sian
Jan 20/23 - Province sent V2 back with a Q
Jan 10/23 - V1 Sent to Province
Jan 9/23 - With Sian "
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-479 Amend SCO-453 RTMC PS Remed,7,V3,ADSL,2023-01-21,2023-01-31,11,7,Jan 20/23 - Province sent V2 back with a Q,Jan 31/23 - V3 sent to Province,,,"Feb 9/23 - Signed
Feb 8/23 - With Province for signature
Feb 8/23 - With Sian for signature approval
Feb 7/23 - V4 sent to Province
Feb 3/23 - Province question with Sharon
Jan 31/23 - V3 sent to Province
Jan 31/23 - Followed up with Sharon
Jan 25/23 - Sent Sharon T to answer question
Jan 20/23 - Sent to Sian
Jan 20/23 - Province sent V2 back with a Q
Jan 10/23 - V1 Sent to Province
Jan 9/23 - With Sian "
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-479 Amend SCO-453 RTMC PS Remed,7,V4,ADSL,2023-02-07,2023-02-07,1,1,Feb 7/23 - V4 sent to Province,Feb 7/23 - V4 sent to Province,,V4 was sent while V4 was the inferred pending receiver version; this was treated as ADSL same-version turnaround rather than creating both-party ownership.,"Feb 9/23 - Signed
Feb 8/23 - With Province for signature
Feb 8/23 - With Sian for signature approval
Feb 7/23 - V4 sent to Province
Feb 3/23 - Province question with Sharon
Jan 31/23 - V3 sent to Province
Jan 31/23 - Followed up with Sharon
Jan 25/23 - Sent Sharon T to answer question
Jan 20/23 - Sent to Sian
Jan 20/23 - Province sent V2 back with a Q
Jan 10/23 - V1 Sent to Province
Jan 9/23 - With Sian "
RTMC Remediation Project,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-479 Amend SCO-453 RTMC PS Remed,7,V4,SIGNINGTIME,2023-02-08,2023-02-09,2,2,Feb 7/23 - V4 sent to Province,Feb 9/23 - Signed,,"V4 was sent out and the next meaningful event was signing/final, so no V5 CSBC editing row was created.","Feb 9/23 - Signed
Feb 8/23 - With Province for signature
Feb 8/23 - With Sian for signature approval
Feb 7/23 - V4 sent to Province
Feb 3/23 - Province question with Sharon
Jan 31/23 - V3 sent to Province
Jan 31/23 - Followed up with Sharon
Jan 25/23 - Sent Sharon T to answer question
Jan 20/23 - Sent to Sian
Jan 20/23 - Province sent V2 back with a Q
Jan 10/23 - V1 Sent to Province
Jan 9/23 - With Sian "
SDN Release 4,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-515 SDN Release 4 Implementation,8,V1,ADSL,2023-05-05,2023-07-14,71,51,"May 5/23 - SOW with Province who have asked for an early project start, so SCO number assigned so a WBS code can be created",July 14/23 - V1 sent to Province,,,"Aug 23/23 - Signed
Aug 21/23 - Province agreed to move to Final, with Sian
Aug 15/23 - V5 sent to Province
Aug 14/23 - V4 back from Province
Aug 9/23 - Rian talking to Emma
Aug 8/23 - Province responded with statement regarding SOWs not being ROM picing, internal convo needed, emailed Michelle
Aug 1/23 - V3 sent to Province
July 27/23 - V2 back from Province, question with Chris
July 14/23 - V1 sent to Province
July 14/23 - With Lori C. and Sian for approval
July 12/23 - Decision to remove licenses from this SCO and scribe them at a later date, with internal team for review
July 12/23 - SOW rec'd from vendor, internal review scheduled for today
July 10/23 - Cathy followed up with Vendor
July 6/23 - Cathy getting quotes from vendors 
June 23/23 - Michelle C following up with Vendor quotes
June 19/23 - Cathy emailed Chris to obtain vendor quotes for the external resources
June 19/23 - Followed up and scheduled an internal mtg 
June 15/23 - Draft started, emailed Chris/Cathy for the updated table 
June 13/23 - SOW Rel 4 approved
May 5/23 - SOW with Province who have asked for an early project start, so SCO number assigned so a WBS code can be created"
SDN Release 4,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-515 SDN Release 4 Implementation,8,V2,CSBC,2023-07-15,2023-07-27,13,9,July 14/23 - V1 sent to Province,"July 27/23 - V2 back from Province, question with Chris",,,"Aug 23/23 - Signed
Aug 21/23 - Province agreed to move to Final, with Sian
Aug 15/23 - V5 sent to Province
Aug 14/23 - V4 back from Province
Aug 9/23 - Rian talking to Emma
Aug 8/23 - Province responded with statement regarding SOWs not being ROM picing, internal convo needed, emailed Michelle
Aug 1/23 - V3 sent to Province
July 27/23 - V2 back from Province, question with Chris
July 14/23 - V1 sent to Province
July 14/23 - With Lori C. and Sian for approval
July 12/23 - Decision to remove licenses from this SCO and scribe them at a later date, with internal team for review
July 12/23 - SOW rec'd from vendor, internal review scheduled for today
July 10/23 - Cathy followed up with Vendor
July 6/23 - Cathy getting quotes from vendors 
June 23/23 - Michelle C following up with Vendor quotes
June 19/23 - Cathy emailed Chris to obtain vendor quotes for the external resources
June 19/23 - Followed up and scheduled an internal mtg 
June 15/23 - Draft started, emailed Chris/Cathy for the updated table 
June 13/23 - SOW Rel 4 approved
May 5/23 - SOW with Province who have asked for an early project start, so SCO number assigned so a WBS code can be created"
SDN Release 4,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-515 SDN Release 4 Implementation,8,V3,ADSL,2023-07-28,2023-08-01,5,3,"July 27/23 - V2 back from Province, question with Chris",Aug 1/23 - V3 sent to Province,,,"Aug 23/23 - Signed
Aug 21/23 - Province agreed to move to Final, with Sian
Aug 15/23 - V5 sent to Province
Aug 14/23 - V4 back from Province
Aug 9/23 - Rian talking to Emma
Aug 8/23 - Province responded with statement regarding SOWs not being ROM picing, internal convo needed, emailed Michelle
Aug 1/23 - V3 sent to Province
July 27/23 - V2 back from Province, question with Chris
July 14/23 - V1 sent to Province
July 14/23 - With Lori C. and Sian for approval
July 12/23 - Decision to remove licenses from this SCO and scribe them at a later date, with internal team for review
July 12/23 - SOW rec'd from vendor, internal review scheduled for today
July 10/23 - Cathy followed up with Vendor
July 6/23 - Cathy getting quotes from vendors 
June 23/23 - Michelle C following up with Vendor quotes
June 19/23 - Cathy emailed Chris to obtain vendor quotes for the external resources
June 19/23 - Followed up and scheduled an internal mtg 
June 15/23 - Draft started, emailed Chris/Cathy for the updated table 
June 13/23 - SOW Rel 4 approved
May 5/23 - SOW with Province who have asked for an early project start, so SCO number assigned so a WBS code can be created"
SDN Release 4,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-515 SDN Release 4 Implementation,8,V4,CSBC,2023-08-02,2023-08-14,13,9,Aug 1/23 - V3 sent to Province,Aug 14/23 - V4 back from Province,,,"Aug 23/23 - Signed
Aug 21/23 - Province agreed to move to Final, with Sian
Aug 15/23 - V5 sent to Province
Aug 14/23 - V4 back from Province
Aug 9/23 - Rian talking to Emma
Aug 8/23 - Province responded with statement regarding SOWs not being ROM picing, internal convo needed, emailed Michelle
Aug 1/23 - V3 sent to Province
July 27/23 - V2 back from Province, question with Chris
July 14/23 - V1 sent to Province
July 14/23 - With Lori C. and Sian for approval
July 12/23 - Decision to remove licenses from this SCO and scribe them at a later date, with internal team for review
July 12/23 - SOW rec'd from vendor, internal review scheduled for today
July 10/23 - Cathy followed up with Vendor
July 6/23 - Cathy getting quotes from vendors 
June 23/23 - Michelle C following up with Vendor quotes
June 19/23 - Cathy emailed Chris to obtain vendor quotes for the external resources
June 19/23 - Followed up and scheduled an internal mtg 
June 15/23 - Draft started, emailed Chris/Cathy for the updated table 
June 13/23 - SOW Rel 4 approved
May 5/23 - SOW with Province who have asked for an early project start, so SCO number assigned so a WBS code can be created"
SDN Release 4,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-515 SDN Release 4 Implementation,8,V5,ADSL,2023-08-15,2023-08-15,1,1,Aug 14/23 - V4 back from Province,Aug 15/23 - V5 sent to Province,,,"Aug 23/23 - Signed
Aug 21/23 - Province agreed to move to Final, with Sian
Aug 15/23 - V5 sent to Province
Aug 14/23 - V4 back from Province
Aug 9/23 - Rian talking to Emma
Aug 8/23 - Province responded with statement regarding SOWs not being ROM picing, internal convo needed, emailed Michelle
Aug 1/23 - V3 sent to Province
July 27/23 - V2 back from Province, question with Chris
July 14/23 - V1 sent to Province
July 14/23 - With Lori C. and Sian for approval
July 12/23 - Decision to remove licenses from this SCO and scribe them at a later date, with internal team for review
July 12/23 - SOW rec'd from vendor, internal review scheduled for today
July 10/23 - Cathy followed up with Vendor
July 6/23 - Cathy getting quotes from vendors 
June 23/23 - Michelle C following up with Vendor quotes
June 19/23 - Cathy emailed Chris to obtain vendor quotes for the external resources
June 19/23 - Followed up and scheduled an internal mtg 
June 15/23 - Draft started, emailed Chris/Cathy for the updated table 
June 13/23 - SOW Rel 4 approved
May 5/23 - SOW with Province who have asked for an early project start, so SCO number assigned so a WBS code can be created"
SDN Release 4,100,project supplied directly by Completed SCOs.xlsx,SCO-PROV-515 SDN Release 4 Implementation,8,V5,SIGNINGTIME,2023-08-16,2023-08-23,8,6,Aug 15/23 - V5 sent to Province,Aug 23/23 - Signed,,"Final-sent language was treated as signing/final workflow, not a new editing version. | V5 was sent out and the next meaningful event was signing/final, so no V6 CSBC editing row was created.","Aug 23/23 - Signed
Aug 21/23 - Province agreed to move to Final, with Sian
Aug 15/23 - V5 sent to Province
Aug 14/23 - V4 back from Province
Aug 9/23 - Rian talking to Emma
Aug 8/23 - Province responded with statement regarding SOWs not being ROM picing, internal convo needed, emailed Michelle
Aug 1/23 - V3 sent to Province
July 27/23 - V2 back from Province, question with Chris
July 14/23 - V1 sent to Province
July 14/23 - With Lori C. and Sian for approval
July 12/23 - Decision to remove licenses from this SCO and scribe them at a later date, with internal team for review
July 12/23 - SOW rec'd from vendor, internal review scheduled for today
July 10/23 - Cathy followed up with Vendor
July 6/23 - Cathy getting quotes from vendors 
June 23/23 - Michelle C following up with Vendor quotes
June 19/23 - Cathy emailed Chris to obtain vendor quotes for the external resources
June 19/23 - Followed up and scheduled an internal mtg 
June 15/23 - Draft started, emailed Chris/Cathy for the updated table 
June 13/23 - SOW Rel 4 approved
May 5/23 - SOW with Province who have asked for an early project start, so SCO number assigned so a WBS code can be created"
