projectname,project_match_score,project_match_reason,sco,excel_row_number,versionnumber,with_party,started_on,ended_on,total_calendar_days,total_business_days,source_start_event,source_end_event,needs_lori_to_confirm,raw_status_text
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-757 Amd SCO-712 3PG Refresh,135,V1,ADSL,2025-08-05,2025-08-06,2,2,Aug 5/25 - with Cathy,Aug 6/25 - V1 sent to Province,,"Aug 18/25 - Adobe Sign
Aug 6/25 - V1 sent to Province
Aug 5/25 - with Cathy"
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-757 Amd SCO-712 3PG Refresh,135,V1,SIGNINGTIME,2025-08-18,2025-08-18,1,1,Aug 18/25 - Adobe Sign,Aug 18/25 - Adobe Sign,,"Aug 18/25 - Adobe Sign
Aug 6/25 - V1 sent to Province
Aug 5/25 - with Cathy"
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-768 Amd SCO-712 3PG Refresh,149,V1,ADSL,2025-11-24,2025-11-25,2,2,Nov 24/25 - with Erwin / Cathy,Nov 25/25 - V1 sent to Province,,"Dec 9/25 - Adobe Sign
Nov 25/25 - V1 sent to Province
Nov 24/25 - with Erwin / Cathy"
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-768 Amd SCO-712 3PG Refresh,149,V1,SIGNINGTIME,2025-12-09,2025-12-09,1,1,Dec 9/25 - Adobe Sign,Dec 9/25 - Adobe Sign,,"Dec 9/25 - Adobe Sign
Nov 25/25 - V1 sent to Province
Nov 24/25 - with Erwin / Cathy"
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-775 Amend 712 3PG Refresh,156,V1,ADSL,2026-01-16,2026-01-30,15,11,Jan 16/26 - with Dor / Cathy,Jan 30/26 - V2 sent to ESIT-AS,,"Feb 3/26 - Completed
Feb 2/26 - Adobe Sign
Jan 30/26 - V2 sent to ESIT-AS
Jan 21/26 - V1 sent to the Province
Jan 21/26 - with Sian
Jan 16/26 - with Dor / Cathy"
3PG Refresh  (Addition),100,token overlap 2/2; hint matched: 3pg; hint matched: refresh,SCO-PROV-775 Amend 712 3PG Refresh,156,V1,SIGNINGTIME,2026-02-02,2026-02-03,2,2,Feb 2/26 - Adobe Sign,Feb 3/26 - Completed,,"Feb 3/26 - Completed
Feb 2/26 - Adobe Sign
Jan 30/26 - V2 sent to ESIT-AS
Jan 21/26 - V1 sent to the Province
Jan 21/26 - with Sian
Jan 16/26 - with Dor / Cathy"
AV Defender for Linux,67,token overlap 2/3,SCO-PROV-809 Defender AV for Windows,184,V1,ADSL,2026-04-10,2026-04-17,8,6,Apr 10/26 - with Tyler,Apr 17/26 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""AV Defender for Linux"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 2/3, score 67).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
AV Defender for Linux,67,token overlap 2/3,SCO-PROV-809 Defender AV for Windows,184,V2,CSBC,2026-04-18,2026-04-21,4,2,Next day after: Apr 17/26 - V1 sent to Province,Apr 21/26 - V2 rec'd; V3 with Cathy,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""AV Defender for Linux"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 2/3, score 67).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
AV Defender for Linux,67,token overlap 2/3,SCO-PROV-809 Defender AV for Windows,184,V3,ADSL,2026-04-22,2026-04-23,2,2,Next day after: Apr 21/26 - V2 rec'd; V3 with Cathy,Apr 23/26 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""AV Defender for Linux"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 2/3, score 67).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
AV Defender for Linux,67,token overlap 2/3,SCO-PROV-809 Defender AV for Windows,184,V3,SIGNINGTIME,2026-05-06,2026-05-06,1,1,May 6/26 - V4 rec'd; Adobe Sign,May 6/26 - V4 rec'd; Adobe Sign,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""AV Defender for Linux"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 2/3, score 67).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
CCCS Sensors,88,token overlap 1/2; hint matched: sensors; hint matched: ips sensors,FOR APPROVAL: SCO-PROV-CAP-004a IPS Sensors(20230322)V1DRAFT,3,V1,ADSL,2023-03-22,2023-03-23,2,2,Mar 22/23 - With Lori for approval,Mar 23/23 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""CCCS Sensors"" -> ""FOR APPROVAL: SCO-PROV-CAP-004a IPS Sensors(20230322)V1DRAFT"" (token overlap 1/2; hint matched: sensors; hint matched: ips sensors, score 88).","Mar 23/23 - Completed
Mar 23/23 - V1 sent to Province
Mar 22/23 - With Sian
Mar 22/23 - With Lori for approval"
CCCS Sensors,88,token overlap 1/2; hint matched: sensors; hint matched: ips sensors,FOR APPROVAL: SCO-PROV-CAP-004a IPS Sensors(20230322)V1DRAFT,3,V1,SIGNINGTIME,2023-03-23,2023-03-23,1,1,Mar 23/23 - Completed,Mar 23/23 - Completed,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""CCCS Sensors"" -> ""FOR APPROVAL: SCO-PROV-CAP-004a IPS Sensors(20230322)V1DRAFT"" (token overlap 1/2; hint matched: sensors; hint matched: ips sensors, score 88).","Mar 23/23 - Completed
Mar 23/23 - V1 sent to Province
Mar 22/23 - With Sian
Mar 22/23 - With Lori for approval"
CCCS Sensors,88,token overlap 1/2; hint matched: sensors; hint matched: ips sensors,SCO-PROV-CAP-004 IPS Sensors,189,V1,ADSL,2022-12-12,2023-01-16,36,26,Dec 12/22 - With Sian to send to Province,Jan 16/23 - Approved by Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""CCCS Sensors"" -> ""SCO-PROV-CAP-004 IPS Sensors"" (token overlap 1/2; hint matched: sensors; hint matched: ips sensors, score 88).","Jan 16/23 - Approved by Province
Jan 5/23 - Waiting for info from vendor, part with Cathy
Jan 4/23 - New quote required
Dec 12/22 - With Sian to send to Province"
CMDB Optimization (Discovery),74,token overlap 2/3; hint matched: cmdb,SCO-PROV-747 CMDB Optimization,125,V1,ADSL,2025-07-14,2025-07-15,2,2,July 14/25 - with Rian / Cathy,July 15/25 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""CMDB Optimization (Discovery)"" -> ""SCO-PROV-747 CMDB Optimization"" (token overlap 2/3; hint matched: cmdb, score 74).","Oct 2/25 - Adobe Sign
Sept 24/25 - Michelle C confirmed 4 servers needed instead of 5; Province still reviewing
Sept 19/25 - Erwin, Rian and Michelle reviewed/OK'd updated SCO: V3 and 3.1 sent to Province 
Sept 16/25 - updated SCO; with Rian/Michelle
Aug 18/25 - V2.1 rec'd; with Rian and Michelle C
July 15/25 - V1 sent to Province
July 14/25 - with Rian / Cathy
Reserved for early start"
CMDB Optimization (Discovery),74,token overlap 2/3; hint matched: cmdb,SCO-PROV-747 CMDB Optimization,125,V2.1,CSBC,2025-07-16,2025-08-18,34,24,Next day after: July 15/25 - V1 sent to Province,Aug 18/25 - V2.1 rec'd; with Rian and Michelle C,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""CMDB Optimization (Discovery)"" -> ""SCO-PROV-747 CMDB Optimization"" (token overlap 2/3; hint matched: cmdb, score 74).","Oct 2/25 - Adobe Sign
Sept 24/25 - Michelle C confirmed 4 servers needed instead of 5; Province still reviewing
Sept 19/25 - Erwin, Rian and Michelle reviewed/OK'd updated SCO: V3 and 3.1 sent to Province 
Sept 16/25 - updated SCO; with Rian/Michelle
Aug 18/25 - V2.1 rec'd; with Rian and Michelle C
July 15/25 - V1 sent to Province
July 14/25 - with Rian / Cathy
Reserved for early start"
CMDB Optimization (Discovery),74,token overlap 2/3; hint matched: cmdb,SCO-PROV-747 CMDB Optimization,125,V3,ADSL,2025-08-19,2025-09-19,32,24,Next day after: Aug 18/25 - V2.1 rec'd; with Rian and Michelle C,"Sept 19/25 - Erwin, Rian and Michelle reviewed/OK'd updated SCO: V3 and 3.1 sent to Province","Lori: please confirm this project/SCO mapping. This is an educated guess: ""CMDB Optimization (Discovery)"" -> ""SCO-PROV-747 CMDB Optimization"" (token overlap 2/3; hint matched: cmdb, score 74).","Oct 2/25 - Adobe Sign
Sept 24/25 - Michelle C confirmed 4 servers needed instead of 5; Province still reviewing
Sept 19/25 - Erwin, Rian and Michelle reviewed/OK'd updated SCO: V3 and 3.1 sent to Province 
Sept 16/25 - updated SCO; with Rian/Michelle
Aug 18/25 - V2.1 rec'd; with Rian and Michelle C
July 15/25 - V1 sent to Province
July 14/25 - with Rian / Cathy
Reserved for early start"
CMDB Optimization (Discovery),74,token overlap 2/3; hint matched: cmdb,SCO-PROV-747 CMDB Optimization,125,V3,SIGNINGTIME,2025-10-02,2025-10-02,1,1,Oct 2/25 - Adobe Sign,Oct 2/25 - Adobe Sign,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""CMDB Optimization (Discovery)"" -> ""SCO-PROV-747 CMDB Optimization"" (token overlap 2/3; hint matched: cmdb, score 74).","Oct 2/25 - Adobe Sign
Sept 24/25 - Michelle C confirmed 4 servers needed instead of 5; Province still reviewing
Sept 19/25 - Erwin, Rian and Michelle reviewed/OK'd updated SCO: V3 and 3.1 sent to Province 
Sept 16/25 - updated SCO; with Rian/Michelle
Aug 18/25 - V2.1 rec'd; with Rian and Michelle C
July 15/25 - V1 sent to Province
July 14/25 - with Rian / Cathy
Reserved for early start"
Defender for Servers,88,token overlap 1/2; hint matched: defender,SCO-PROV-728 Defender Anti-Virus,106,V1,ADSL,2025-04-14,2025-04-17,4,4,Apr 14/25 - SOW approved,Apr 17/25 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Defender for Servers"" -> ""SCO-PROV-728 Defender Anti-Virus"" (token overlap 1/2; hint matched: defender, score 88).","Apr 28/25 - Completed
Apr 28/25 - Move to final, sent via AdobeSign
Apr 25/25 - V2 back from Province
Apr 17/25 - V1 sent to Province
Apr 17/25 - With Tyler, with Sian
Apr 17/25 - With Nicole/Cathy for review
Apr 14/25 - SOW approved"
Defender for Servers,88,token overlap 1/2; hint matched: defender,SCO-PROV-728 Defender Anti-Virus,106,V2,CSBC,2025-04-18,2025-04-25,8,6,Next day after: Apr 17/25 - V1 sent to Province,Apr 25/25 - V2 back from Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Defender for Servers"" -> ""SCO-PROV-728 Defender Anti-Virus"" (token overlap 1/2; hint matched: defender, score 88).","Apr 28/25 - Completed
Apr 28/25 - Move to final, sent via AdobeSign
Apr 25/25 - V2 back from Province
Apr 17/25 - V1 sent to Province
Apr 17/25 - With Tyler, with Sian
Apr 17/25 - With Nicole/Cathy for review
Apr 14/25 - SOW approved"
Defender for Servers,88,token overlap 1/2; hint matched: defender,SCO-PROV-728 Defender Anti-Virus,106,V2,SIGNINGTIME,2025-04-28,2025-04-28,1,1,Apr 28/25 - Completed,"Apr 28/25 - Move to final, sent via AdobeSign","Lori: please confirm this project/SCO mapping. This is an educated guess: ""Defender for Servers"" -> ""SCO-PROV-728 Defender Anti-Virus"" (token overlap 1/2; hint matched: defender, score 88).","Apr 28/25 - Completed
Apr 28/25 - Move to final, sent via AdobeSign
Apr 25/25 - V2 back from Province
Apr 17/25 - V1 sent to Province
Apr 17/25 - With Tyler, with Sian
Apr 17/25 - With Nicole/Cathy for review
Apr 14/25 - SOW approved"
Defender for Servers,88,token overlap 1/2; hint matched: defender,SCO-PROV-809 Defender AV for Windows,184,V1,ADSL,2026-04-10,2026-04-17,8,6,Apr 10/26 - with Tyler,Apr 17/26 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Defender for Servers"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 1/2; hint matched: defender, score 88).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
Defender for Servers,88,token overlap 1/2; hint matched: defender,SCO-PROV-809 Defender AV for Windows,184,V2,CSBC,2026-04-18,2026-04-21,4,2,Next day after: Apr 17/26 - V1 sent to Province,Apr 21/26 - V2 rec'd; V3 with Cathy,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Defender for Servers"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 1/2; hint matched: defender, score 88).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
Defender for Servers,88,token overlap 1/2; hint matched: defender,SCO-PROV-809 Defender AV for Windows,184,V3,ADSL,2026-04-22,2026-04-23,2,2,Next day after: Apr 21/26 - V2 rec'd; V3 with Cathy,Apr 23/26 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Defender for Servers"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 1/2; hint matched: defender, score 88).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
Defender for Servers,88,token overlap 1/2; hint matched: defender,SCO-PROV-809 Defender AV for Windows,184,V3,SIGNINGTIME,2026-05-06,2026-05-06,1,1,May 6/26 - V4 rec'd; Adobe Sign,May 6/26 - V4 rec'd; Adobe Sign,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Defender for Servers"" -> ""SCO-PROV-809 Defender AV for Windows"" (token overlap 1/2; hint matched: defender, score 88).","May 6/26 - V4 rec'd; Adobe Sign
Apr 23/26 - V3 sent to Province
Apr 21/26 - V2 rec'd; V3 with Cathy
Apr 17/26 - V1 sent to Province
Apr 16/26 - with Sian
Apr 10/26 - with Tyler"
Enhanced Logging,100,project phrase appears; hint matched: enhanced logging; hint matched: logging,SCO-PROV-730 Enhanced Logging Phase 2,108,V1,ADSL,2025-05-21,2025-05-27,7,5,May 21/25 - with Nicole / Cathy,May 27/25 - V1 sent to Province,,"June 10/25 - Adobe Sign
May 27/25 - V1 sent to Province
May 22/25 - with Tyler
May 21/25 - with Nicole / Cathy
Placeholder - need # for SOW approval"
Enhanced Logging,100,project phrase appears; hint matched: enhanced logging; hint matched: logging,SCO-PROV-730 Enhanced Logging Phase 2,108,V1,SIGNINGTIME,2025-06-10,2025-06-10,1,1,June 10/25 - Adobe Sign,June 10/25 - Adobe Sign,,"June 10/25 - Adobe Sign
May 27/25 - V1 sent to Province
May 22/25 - with Tyler
May 21/25 - with Nicole / Cathy
Placeholder - need # for SOW approval"
Enhanced Logging Phase 2,100,project phrase appears,SCO-PROV-730 Enhanced Logging Phase 2,108,V1,ADSL,2025-05-21,2025-05-27,7,5,May 21/25 - with Nicole / Cathy,May 27/25 - V1 sent to Province,,"June 10/25 - Adobe Sign
May 27/25 - V1 sent to Province
May 22/25 - with Tyler
May 21/25 - with Nicole / Cathy
Placeholder - need # for SOW approval"
Enhanced Logging Phase 2,100,project phrase appears,SCO-PROV-730 Enhanced Logging Phase 2,108,V1,SIGNINGTIME,2025-06-10,2025-06-10,1,1,June 10/25 - Adobe Sign,June 10/25 - Adobe Sign,,"June 10/25 - Adobe Sign
May 27/25 - V1 sent to Province
May 22/25 - with Tyler
May 21/25 - with Nicole / Cathy
Placeholder - need # for SOW approval"
IT Modernization Roadmap,100,project phrase appears,SCO-PROV-484 IT Modernization Roadmap,28,V1,ADSL,2023-01-31,2023-02-01,2,2,Jan 31/23 - Lori Sent SOW,Feb 1/23 - V1 sent to Province,,"Mar 14/23 - Completed/signed
Mar 10/23 - Final sent to Province
Mar 10/23 - Province requested to move to signature, with Sian
Mar 7/23 - V4 sent to Province 
Mar 2/23 - Q with Cathy
Feb 22/23 - With Jen to amend/review
Feb 22/23 - Sent to Cathy for review
Feb 16/23 - V3 back from Province
Feb 10/23 - V2 sent to Province
Feb 9/23 - Updates to SOW, V2 with Lori for review
Feb 1/23 - V1 sent to Province
Feb 1/23 - With Sian
Feb 1/23 - Draft sent to Cathy/Lori for review
Jan 31/23 - Lori Sent SOW"
IT Modernization Roadmap,100,project phrase appears,SCO-PROV-484 IT Modernization Roadmap,28,V2,CSBC,2023-02-02,2023-02-09,8,6,Next day after: Feb 1/23 - V1 sent to Province,"Feb 9/23 - Updates to SOW, V2 with Lori for review",Lori: inferred handoff to ADSL from internal ADSL work line; please confirm.,"Mar 14/23 - Completed/signed
Mar 10/23 - Final sent to Province
Mar 10/23 - Province requested to move to signature, with Sian
Mar 7/23 - V4 sent to Province 
Mar 2/23 - Q with Cathy
Feb 22/23 - With Jen to amend/review
Feb 22/23 - Sent to Cathy for review
Feb 16/23 - V3 back from Province
Feb 10/23 - V2 sent to Province
Feb 9/23 - Updates to SOW, V2 with Lori for review
Feb 1/23 - V1 sent to Province
Feb 1/23 - With Sian
Feb 1/23 - Draft sent to Cathy/Lori for review
Jan 31/23 - Lori Sent SOW"
IT Modernization Roadmap,100,project phrase appears,SCO-PROV-484 IT Modernization Roadmap,28,V3,ADSL,2023-02-09,2023-02-10,2,2,"Feb 9/23 - Updates to SOW, V2 with Lori for review",Feb 10/23 - V2 sent to Province,,"Mar 14/23 - Completed/signed
Mar 10/23 - Final sent to Province
Mar 10/23 - Province requested to move to signature, with Sian
Mar 7/23 - V4 sent to Province 
Mar 2/23 - Q with Cathy
Feb 22/23 - With Jen to amend/review
Feb 22/23 - Sent to Cathy for review
Feb 16/23 - V3 back from Province
Feb 10/23 - V2 sent to Province
Feb 9/23 - Updates to SOW, V2 with Lori for review
Feb 1/23 - V1 sent to Province
Feb 1/23 - With Sian
Feb 1/23 - Draft sent to Cathy/Lori for review
Jan 31/23 - Lori Sent SOW"
IT Modernization Roadmap,100,project phrase appears,SCO-PROV-484 IT Modernization Roadmap,28,V2,ADSL,2023-02-10,2023-02-10,1,1,Feb 10/23 - V2 sent to Province,Feb 10/23 - V2 sent to Province,,"Mar 14/23 - Completed/signed
Mar 10/23 - Final sent to Province
Mar 10/23 - Province requested to move to signature, with Sian
Mar 7/23 - V4 sent to Province 
Mar 2/23 - Q with Cathy
Feb 22/23 - With Jen to amend/review
Feb 22/23 - Sent to Cathy for review
Feb 16/23 - V3 back from Province
Feb 10/23 - V2 sent to Province
Feb 9/23 - Updates to SOW, V2 with Lori for review
Feb 1/23 - V1 sent to Province
Feb 1/23 - With Sian
Feb 1/23 - Draft sent to Cathy/Lori for review
Jan 31/23 - Lori Sent SOW"
IT Modernization Roadmap,100,project phrase appears,SCO-PROV-484 IT Modernization Roadmap,28,V3,CSBC,2023-02-11,2023-02-16,6,4,Next day after: Feb 10/23 - V2 sent to Province,Feb 16/23 - V3 back from Province,,"Mar 14/23 - Completed/signed
Mar 10/23 - Final sent to Province
Mar 10/23 - Province requested to move to signature, with Sian
Mar 7/23 - V4 sent to Province 
Mar 2/23 - Q with Cathy
Feb 22/23 - With Jen to amend/review
Feb 22/23 - Sent to Cathy for review
Feb 16/23 - V3 back from Province
Feb 10/23 - V2 sent to Province
Feb 9/23 - Updates to SOW, V2 with Lori for review
Feb 1/23 - V1 sent to Province
Feb 1/23 - With Sian
Feb 1/23 - Draft sent to Cathy/Lori for review
Jan 31/23 - Lori Sent SOW"
IT Modernization Roadmap,100,project phrase appears,SCO-PROV-484 IT Modernization Roadmap,28,V4,ADSL,2023-02-17,2023-03-07,19,13,Next day after: Feb 16/23 - V3 back from Province,Mar 7/23 - V4 sent to Province,,"Mar 14/23 - Completed/signed
Mar 10/23 - Final sent to Province
Mar 10/23 - Province requested to move to signature, with Sian
Mar 7/23 - V4 sent to Province 
Mar 2/23 - Q with Cathy
Feb 22/23 - With Jen to amend/review
Feb 22/23 - Sent to Cathy for review
Feb 16/23 - V3 back from Province
Feb 10/23 - V2 sent to Province
Feb 9/23 - Updates to SOW, V2 with Lori for review
Feb 1/23 - V1 sent to Province
Feb 1/23 - With Sian
Feb 1/23 - Draft sent to Cathy/Lori for review
Jan 31/23 - Lori Sent SOW"
IT Modernization Roadmap,100,project phrase appears,SCO-PROV-484 IT Modernization Roadmap,28,V4,SIGNINGTIME,2023-03-10,2023-03-14,5,3,Mar 10/23 - Final sent to Province,Mar 14/23 - Completed/signed,,"Mar 14/23 - Completed/signed
Mar 10/23 - Final sent to Province
Mar 10/23 - Province requested to move to signature, with Sian
Mar 7/23 - V4 sent to Province 
Mar 2/23 - Q with Cathy
Feb 22/23 - With Jen to amend/review
Feb 22/23 - Sent to Cathy for review
Feb 16/23 - V3 back from Province
Feb 10/23 - V2 sent to Province
Feb 9/23 - Updates to SOW, V2 with Lori for review
Feb 1/23 - V1 sent to Province
Feb 1/23 - With Sian
Feb 1/23 - Draft sent to Cathy/Lori for review
Jan 31/23 - Lori Sent SOW"
King's Printer Migration,88,hint matched: printer,"SCO-PROV-497 MPS Updates to Table 1, 2, and 9 of Sch 23 s5.11 MPS fees",40,V1,ADSL,2023-03-07,2023-03-17,11,9,Mar 7/23 - To draft SCO,Mar 17/23 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""King's Printer Migration"" -> ""SCO-PROV-497 MPS Updates to Table 1, 2, and 9 of Sch 23 s5.11 MPS fees"" (hint matched: printer, score 88).","May 11/23 - New pricing back from HP, sent email to HP with question
May 8/23 - CO 117 still needs to be signed for HP, but awaiting a response from Scott on the three printers
May 8/ 23 - SCO signed, will need an amendment once pricing comes back from HP to re-add the three removed devices
May 8/23 - Province agreed to move to signatures, with Sian
May 5/23 - V6 Sent to Province
May 4/23 - Question with Sarka at HP
May 4/23 - V5 Back from Province
May 3/23 - V4.1 Sent to Province
May 2/23 - V4 sent to Province
Apr 27/23 - V3 sent to Province
Apr 24/23 - Question to HP - mtg with HP on Apr 27
Mar 29/23 - Province comments received
Mar 17/23 - V1 sent to Province
Mar 17/23 - With Sian for approval
Mar 16/23 - Draft with Lori for approval
Mar 7/23 - To draft SCO
Mar 7/23 - With Jen to Draft upon Province direction"
King's Printer Migration,88,hint matched: printer,"SCO-PROV-497 MPS Updates to Table 1, 2, and 9 of Sch 23 s5.11 MPS fees",40,V2,CSBC,2023-03-18,2023-04-27,41,29,Next day after: Mar 17/23 - V1 sent to Province,Apr 27/23 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""King's Printer Migration"" -> ""SCO-PROV-497 MPS Updates to Table 1, 2, and 9 of Sch 23 s5.11 MPS fees"" (hint matched: printer, score 88).","May 11/23 - New pricing back from HP, sent email to HP with question
May 8/23 - CO 117 still needs to be signed for HP, but awaiting a response from Scott on the three printers
May 8/ 23 - SCO signed, will need an amendment once pricing comes back from HP to re-add the three removed devices
May 8/23 - Province agreed to move to signatures, with Sian
May 5/23 - V6 Sent to Province
May 4/23 - Question with Sarka at HP
May 4/23 - V5 Back from Province
May 3/23 - V4.1 Sent to Province
May 2/23 - V4 sent to Province
Apr 27/23 - V3 sent to Province
Apr 24/23 - Question to HP - mtg with HP on Apr 27
Mar 29/23 - Province comments received
Mar 17/23 - V1 sent to Province
Mar 17/23 - With Sian for approval
Mar 16/23 - Draft with Lori for approval
Mar 7/23 - To draft SCO
Mar 7/23 - With Jen to Draft upon Province direction"
King's Printer Migration,88,hint matched: printer,"SCO-PROV-497 MPS Updates to Table 1, 2, and 9 of Sch 23 s5.11 MPS fees",40,V3,ADSL,2023-04-27,2023-04-27,1,1,Apr 27/23 - V3 sent to Province,Apr 27/23 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""King's Printer Migration"" -> ""SCO-PROV-497 MPS Updates to Table 1, 2, and 9 of Sch 23 s5.11 MPS fees"" (hint matched: printer, score 88).","May 11/23 - New pricing back from HP, sent email to HP with question
May 8/23 - CO 117 still needs to be signed for HP, but awaiting a response from Scott on the three printers
May 8/ 23 - SCO signed, will need an amendment once pricing comes back from HP to re-add the three removed devices
May 8/23 - Province agreed to move to signatures, with Sian
May 5/23 - V6 Sent to Province
May 4/23 - Question with Sarka at HP
May 4/23 - V5 Back from Province
May 3/23 - V4.1 Sent to Province
May 2/23 - V4 sent to Province
Apr 27/23 - V3 sent to Province
Apr 24/23 - Question to HP - mtg with HP on Apr 27
Mar 29/23 - Province comments received
Mar 17/23 - V1 sent to Province
Mar 17/23 - With Sian for approval
Mar 16/23 - Draft with Lori for approval
Mar 7/23 - To draft SCO
Mar 7/23 - With Jen to Draft upon Province direction"
King's Printer Migration,88,hint matched: printer,"SCO-PROV-497 MPS Updates to Table 1, 2, and 9 of Sch 23 s5.11 MPS fees",40,V4,ADSL,2023-04-28,2023-05-02,5,3,Next day after: Apr 27/23 - V3 sent to Province,May 2/23 - V4 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""King's Printer Migration"" -> ""SCO-PROV-497 MPS Updates to Table 1, 2, and 9 of Sch 23 s5.11 MPS fees"" (hint matched: printer, score 88).","May 11/23 - New pricing back from HP, sent email to HP with question
May 8/23 - CO 117 still needs to be signed for HP, but awaiting a response from Scott on the three printers
May 8/ 23 - SCO signed, will need an amendment once pricing comes back from HP to re-add the three removed devices
May 8/23 - Province agreed to move to signatures, with Sian
May 5/23 - V6 Sent to Province
May 4/23 - Question with Sarka at HP
May 4/23 - V5 Back from Province
May 3/23 - V4.1 Sent to Province
May 2/23 - V4 sent to Province
Apr 27/23 - V3 sent to Province
Apr 24/23 - Question to HP - mtg with HP on Apr 27
Mar 29/23 - Province comments received
Mar 17/23 - V1 sent to Province
Mar 17/23 - With Sian for approval
Mar 16/23 - Draft with Lori for approval
Mar 7/23 - To draft SCO
Mar 7/23 - With Jen to Draft upon Province direction"
